Ville;Année;Sexe;total;<1;1-4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85-94;95
1;5;F;2590;856;101;14;7;7;15;22;27;62;153;303;1023
1;5;M;2327;406;33;20;9;0;26;32;51;128;268;495;859
1;6;T;4811;1237;144;36;0;0;35;63;84;159;444;796;1813
1;6;F;2438;837;116;0;0;0;0;26;26;47;154;322;910
1;6;M;2361;400;28;30;0;0;29;37;58;112;290;474;903
1;7;T;4692;1276;145;34;0;7;52;71;90;166;434;747;1670
1;7;F;2454;872;108;13;0;0;12;20;45;52;159;308;865
1;7;M;2231;404;37;21;0;0;40;51;45;114;275;439;805
1;8;T;4538;1244;146;20;0;8;38;83;104;167;368;767;1593
1;8;F;2397;829;106;12;0;0;9;27;42;62;121;319;870
1;8;M;2133;415;40;8;0;0;29;56;62;105;247;448;723
1;9;T;4648;1324;170;31;9;0;42;96;116;163;389;666;1642
1;9;F;2397;878;126;12;0;0;16;26;34;63;139;265;838
1;9;M;2242;446;44;19;0;0;26;70;82;100;250;401;804
1;10;T;4492;1309;176;26;0;0;43;77;115;159;400;671;1516
1;10;F;2295;903;126;13;0;0;11;13;28;45;135;252;769
1;10;M;2197;406;50;13;0;0;32;64;87;114;265;419;747
1;11;T;4557;1368;184;27;0;0;44;110;111;152;362;657;1542
1;11;F;2338;895;154;9;0;0;8;30;28;46;116;246;806
1;11;M;2219;473;30;18;0;0;36;80;83;106;246;411;736
1;12;T;4619;1342;209;36;9;0;44;139;149;188;339;630;1534
1;12;F;2370;876;162;14;0;0;10;33;40;56;123;262;794
1;12;M;2240;466;47;22;0;0;34;106;109;132;216;368;740
1;13;T;4579;1372;184;29;0;0;39;137;148;175;362;722;1411
1;13;F;2360;901;139;12;0;0;9;28;46;64;133;299;729
1;13;M;2219;471;45;17;0;0;30;109;102;111;229;423;682
1;14;T;4541;1420;210;32;7;14;34;115;137;183;318;710;1361
1;14;F;2299;929;152;12;0;8;10;27;34;55;98;283;691
1;14;M;2229;491;58;20;0;0;24;88;103;128;220;427;670
1;15;T;4270;1375;209;25;7;0;27;122;129;158;302;699;1217
1;15;F;2144;888;160;8;0;0;0;38;39;49;100;281;581
1;15;M;2114;487;49;17;0;0;22;84;90;109;202;418;636
1;16;T;4478;1405;226;21;0;7;38;118;158;190;315;712;1288
1;16;F;2226;882;180;0;0;0;7;41;35;59;90;278;654
1;16;M;2239;523;46;15;0;0;31;77;123;131;225;434;634
1;17;T;4309;1397;256;13;0;0;30;88;150;188;303;702;1182
1;17;F;2227;901;206;0;0;0;14;30;56;46;109;263;602
1;17;M;2079;496;50;10;0;0;16;58;94;142;194;439;580
1;18;T;4139;1453;235;12;0;8;26;59;95;151;284;689;1127
1;18;F;2171;921;191;7;0;0;10;21;33;60;92;274;562
1;18;M;1955;532;44;0;0;0;16;38;62;91;192;415;565
1;19;T;4334;1559;277;11;0;0;21;40;97;215;252;665;1197
1;19;F;2254;1011;225;0;0;0;9;14;30;74;89;258;544
1;19;M;2076;548;52;7;0;0;12;26;67;141;163;407;653
1;20;T;3700;1369;249;10;0;0;30;46;92;148;259;522;975
1;20;F;1907;879;196;0;0;0;10;18;26;45;88;185;460
1;20;M;1783;490;53;0;0;0;20;28;66;103;171;337;515
1;21;T;3995;1495;249;16;0;0;21;44;90;169;259;594;1058
1;21;F;2024;930;183;8;0;0;0;14;30;58;100;220;481
1;21;M;1966;565;66;8;0;0;16;30;60;111;159;374;577
1;22;T;4025;1446;296;13;0;0;22;44;98;162;261;567;1116
1;22;F;2118;919;235;0;0;0;0;0;36;55;93;220;560
