Ville;Année;Libellé;Sexe;Total;<1;1-4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85-94;95
-1;31;36;T;124;1;1;1;1;8;8;11;23;15;20;24;11
-1;31;37;M;5086;2;6;;3;17;30;112;314;532;1675;1967;428
-1;31;37;F;5232;1;;;4;5;20;38;110;219;1111;2560;1164
-1;31;37;T;10318;3;6;;7;22;50;150;424;751;2786;4527;1592
-1;31;38;M;316;1;3;3;3;8;18;31;42;39;95;63;10
-1;31;38;F;609;;;4;4;1;18;29;58;57;168;214;56
-1;31;38;T;925;1;3;7;7;9;36;60;100;96;263;277;66
-1;31;39;M;5229;1;;;;2;22;113;443;845;2055;1565;183
-1;31;39;F;2868;;;;;2;8;47;133;284;900;1158;336
-1;31;39;T;8097;1;;;;4;30;160;576;1129;2955;2723;519
-1;31;40;M;6442;7;3;;18;22;46;158;474;903;2406;2059;346
-1;31;40;F;6021;6;11;1;7;11;19;95;189;391;1675;2599;1017
-1;31;40;T;12463;13;14;1;25;33;65;253;663;1294;4081;4658;1363
-1;31;41;M;428;;1;;;;6;20;54;73;124;133;17
-1;31;41;F;442;;;;1;;2;15;19;42;129;195;39
-1;31;41;T;870;;1;;1;;8;35;73;115;253;328;56
-1;31;42;M;5192;1;1;;;28;286;1052;1856;1085;747;135;1
-1;31;42;F;2027;;;;1;6;86;381;634;406;416;92;5
-1;31;42;T;7219;1;1;;1;34;372;1433;2490;1491;1163;227;6
-1;31;43;M;6984;11;5;4;14;29;145;413;801;1054;2338;1917;253
-1;31;43;F;8305;3;2;5;11;15;56;183;360;625;2439;3553;1053
-1;31;43;T;15289;14;7;9;25;44;201;596;1161;1679;4777;5470;1306
-1;31;44;M;483;;;;;;1;7;16;37;180;194;48
-1;31;44;F;939;;;;;;1;3;10;41;203;458;223
-1;31;44;T;1422;;;;;;2;10;26;78;383;652;271
-1;31;45;M;140;;;;;;;2;15;23;60;34;6
-1;31;45;F;408;;;;;;;3;21;44;127;162;51
-1;31;45;T;548;;;;;;;5;36;67;187;196;57
-1;31;46;M;1195;;;1;2;3;11;35;93;164;429;394;63
-1;31;46;F;1925;;;2;3;4;16;30;77;157;596;819;221
-1;31;46;T;3120;;;3;5;7;27;65;170;321;1025;1213;284
-1;31;47;M;3656;2;1;;1;10;13;51;210;428;1321;1389;230
-1;31;47;F;3957;;2;;1;4;13;39;101;260;1126;1884;527
-1;31;47;T;7613;2;3;;2;14;26;90;311;688;2447;3273;757
-1;31;48;M;1065;;;;;1;5;7;34;94;357;461;106
-1;31;48;F;1080;;;;;;5;14;32;63;317;509;140
-1;31;48;T;2145;;;;;1;10;21;66;157;674;970;246
-1;31;49;M;0;;;;;;;;;;;;
-1;31;49;F;66;;;;5;38;23;;;;;;
